股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
300977,深圳瑞捷,1.95,14.12,14.17,13.57,13.95,0.27,4.28,0.64,170.72,16603,23229546.96,13.85,2157063573,547778072,0.300977,深A,2024-06-14 15:34:12,2024-06-14
831087,秋乐种业,1.95,6.28,6.33,6.16,6.26,0.12,0.78,0.84,163.12,5581,3486077.86,6.16,1037456000,446822628,0.831087,深A,2024-06-14 15:31:55,2024-06-14
600624,复旦复华,1.95,3.14,3.16,3.02,3.09,0.06,1.61,0.78,-48.41,110382,34381668.0,3.08,2149995711,2149995711,1.600624,沪A,2024-06-14 16:12:02,2024-06-14
000719,中原传媒,1.95,11.52,11.92,11.22,11.23,0.22,4.75,1.45,89.67,316858,367468821.25,11.3,11787307188,7685539695,0.000719,深A,2024-06-14 15:34:33,2024-06-14
301123,奕东电子,1.95,18.86,18.96,18.3,18.4,0.36,11.99,1.06,55.87,91633,171548448.46,18.5,4405696000,1441209777,0.301123,深A,2024-06-14 15:35:03,2024-06-14
301217,铜冠铜箔,1.95,10.48,10.6,10.14,10.26,0.2,2.63,0.95,-78.42,60244,62820237.78,10.28,8688082901,2400082901,0.301217,深A,2024-06-14 15:34:54,2024-06-14
601555,东吴证券,1.94,6.29,6.32,6.13,6.15,0.12,1.09,1.88,17.14,542635,337882814.0,6.17,31253140845,31253140845,1.601555,沪A,2024-06-14 16:11:55,2024-06-14
000977,浪潮信息,1.94,36.72,36.96,35.42,35.71,0.7,4.42,1.16,44.1,649312,2366703596.88,36.02,54056801680,53987350427,0.000977,深A,2024-06-14 15:34:33,2024-06-14
002090,金智科技,1.94,8.92,9.2,8.78,8.82,0.17,3.3,2.03,46.83,130576,117812547.78,8.75,3573147473,3532476207,0.002090,深A,2024-06-14 15:34:57,2024-06-14
601901,方正证券,1.94,8.4,8.62,8.22,8.24,0.16,2.41,2.57,22.04,1984833,1676359258.0,8.24,69149651718,69149651718,1.601901,沪A,2024-06-14 16:11:37,2024-06-14
002231,奥维通信,1.94,4.2,4.24,4.06,4.15,0.08,4.53,0.69,-152.16,133674,55608584.98,4.12,1456770071,1238238821,0.002231,深A,2024-06-14 15:35:06,2024-06-14
835368,连城数控,1.94,28.37,28.38,27.8,27.96,0.54,0.34,0.85,7.5,4295,12066812.43,27.83,6624384787,3616095124,0.835368,深A,2024-06-14 15:31:55,2024-06-14
603323,苏农银行,1.94,4.73,4.74,4.64,4.66,0.09,1.25,0.93,5.15,192812,90477806.0,4.64,8533268606,7306577166,1.603323,沪A,2024-06-14 16:11:48,2024-06-14
300491,通合科技,1.94,15.26,15.91,14.79,15.02,0.29,4.03,2.04,86.3,62230,95716955.1,14.97,2655869460,2356249172,0.300491,深A,2024-06-14 15:34:54,2024-06-14
301141,中科磁业,1.93,30.56,30.74,29.51,29.72,0.58,9.02,1.36,234.3,35391,107082241.08,29.98,3790436409,1199290161,0.301141,深A,2024-06-14 15:34:39,2024-06-14
603290,斯达半导,1.93,95.95,95.95,92.06,93.4,1.82,3.79,1.52,35.31,90778,856927829.0,94.13,22967829371,22967829371,1.603290,沪A,2024-06-14 16:11:45,2024-06-14
002373,千方科技,1.93,8.98,9.15,8.65,8.77,0.17,2.86,1.09,-61.32,394595,350274397.97,8.81,14190090171,12370744568,0.002373,深A,2024-06-14 15:34:36,2024-06-14
002732,燕塘乳业,1.93,15.32,15.4,14.94,15.04,0.29,0.66,0.93,37.3,10411,15799076.43,15.03,2410602000,2398593740,0.002732,深A,2024-06-14 15:34:48,2024-06-14
301285,鸿日达,1.93,25.4,25.48,24.67,24.89,0.48,5.91,1.14,298.33,46497,117287064.25,24.92,5249418000,1999229123,0.301285,深A,2024-06-14 15:34:18,2024-06-14
601665,齐鲁银行,1.92,4.77,4.8,4.66,4.7,0.09,1.12,1.35,4.9,288849,136666877.0,4.68,23062783818,12276943245,1.601665,沪A,2024-06-14 16:11:50,2024-06-14
600569,安阳钢铁,1.92,1.59,1.59,1.56,1.57,0.03,0.31,0.92,-2.36,88781,14001268.0,1.56,4567150004,4567150004,1.600569,沪A,2024-06-14 16:11:38,2024-06-14
300164,通源石油,1.92,3.71,3.78,3.59,3.62,0.07,4.93,0.94,137.39,266319,98477767.2,3.64,2192271014,2002377435,0.300164,深A,2024-06-14 15:34:18,2024-06-14
300624,万兴科技,1.92,56.37,57.14,55.76,56.7,1.06,4.56,1.06,106.22,78063,440161478.32,55.31,10898368584,9652416330,0.300624,深A,2024-06-14 15:34:48,2024-06-14
